 ,Mean1,Mean2,Mean3,Mean4
1,102,80,182,80
2,94,80,145,94
3,102,80,153,87
4,112,82,142,82
5,109,72,145,87
6,112,90,142,97
7,120,82,165,105
8,94,87,145,94
9,94,87,138,87
10,94,87,167,87
11,102,87,138,109
12,109,80,160,94
13,99,85,155,85
14,106,85,177,85
15,106,77,162,77
16,113,70,155,92
17,102,72,160,94
18,92,77,155,85
19,106,77,162,92
20,113,85,162,92
21,77,77,148,92
22,113,63,148,92
23,99,85,155,77
24,113,77,155,85
25,92,77,148,99
26,120,77,127,92
27,102,72,131,87
28,99,77,134,85
29,113,92,155,92
30,99,92,170,92
31,106,92,155,85
32,92,70,148,77
33,85,63,148,99
34,92,85,162,99
35,99,77,127,85
36,92,92,162,92
37,106,77,162,85
38,102,80,174,87
39,92,92,155,85
40,109,80,153,94
41,94,87,167,80
42,94,87,160,87
43,102,87,153,94
44,105,75,165,90
45,109,87,160,80
46,90,82,157,75
47,102,72,160,87
48,120,90,150,90
49,109,94,153,102
50,109,65,153,94
51,102,94,153,80
52,87,80,160,87
53,99,85,141,85
54,94,87,153,87
55,85,70,148,92
56,92,63,155,92
57,99,92,155,92
58,92,85,141,77
59,99,77,155,85
60,77,92,148,92
61,99,77,155,77
62,92,85,170,77
63,99,85,148,92
64,92,77,155,63
65,87,80,160,87
66,90,82,180,82
67,97,75,165,82
68,116,80,160,87
69,102,80,153,94
70,102,80,153,80
71,105,82,180,97
72,97,82,157,90
73,105,67,157,90
74,102,80,167,94
75,90,90,157,82
76,102,72,167,80
77,105,90,142,97
78,94,80,153,87
79,87,87,153,102
80,105,82,157,112
81,94,80,167,87
82,94,80,182,94
83,94,80,153,102
84,109,80,145,87
85,116,87,145,102
86,94,80,167,80
87,102,80,131,87
88,94,65,153,87
89,135,82,157,82
90,94,87,160,80
91,94,80,138,94
92,97,97,187,90
93,94,80,145,87
94,94,87,153,80
95,109,87,138,87
96,87,80,145,109
97,105,90,157,90
98,109,94,167,94
99,94,87,153,87
100,87,87,160,87
101,109,72,123,87
102,102,94,131,94
103,92,77,155,99
104,99,85,148,85
105,87,94,153,87
106,92,70,141,92
107,85,77,155,85
108,85,85,155,85
109,99,63,134,77
110,99,70,148,92
111,85,77,148,85
112,92,85,148,92
113,94,80,153,87
114,102,65,160,87
115,106,63,155,85
116,102,87,167,80
117,106,70,155,85
118,99,85,155,92
119,106,92,134,85
120,99,92,162,85
