 ,Mean1,Mean2,Mean3,Mean4
1,96,85,154,87
2,106,82,188,84
3,102,86,154,75
4,115,77,167,80
5,100,89,176,85
6,112,96,176,87
7,107,80,158,80
8,107,80,163,94
9,120,99,170,82
10,113,77,162,75
11,101,63,165,75
12,96,85,151,80
13,94,80,179,97
14,110,80,186,83
15,106,89,172,85
16,104,90,159,83
17,93,85,147,78
18,106,80,160,82
19,100,90,178,81
20,111,97,170,82
21,106,85,184,92
22,115,90,159,93
23,103,79,170,81
24,100,73,174,76
25,93,85,159,93
26,102,80,182,85
27,116,83,166,83
28,111,85,179,77
29,106,80,167,80
30,104,80,187,80
31,102,89,182,72
32,91,79,148,89
33,98,95,169,80
34,112,85,171,93
35,109,85,160,80
36,117,85,188,83
37,105,83,166,88
38,97,76,178,78
39,96,79,153,74
40,110,76,186,88
41,102,78,161,78
42,98,105,152,93
43,106,77,172,85
44,125,93,171,76
45,101,71,183,86
46,106,97,157,85
47,119,77,182,89
48,112,85,159,80
49,98,93,169,78
50,101,84,155,94
51,107,85,164,80
52,103,89,163,76
53,101,79,170,94
54,99,89,160,76
55,117,90,161,73
56,108,94,163,94
57,101,86,178,86
58,101,86,143,79
59,102,88,166,80
60,102,78,171,78
61,105,78,161,76
62,107,85,152,76
63,102,85,157,80
64,106,94,185,86
65,113,84,173,81
66,106,74,173,74
67,118,78,174,80
68,101,79,175,86
69,111,81,175,86
70,102,80,186,80
71,107,78,169,93
72,117,78,169,90
73,112,76,171,83
74,107,88,161,88
75,101,81,200,74
76,110,85,176,80
77,107,90,164,88
78,103,99,163,86
79,103,86,168,79
80,105,83,176,93
81,109,77,162,94
82,98,93,183,78
83,102,85,162,92
84,123,80,164,75
85,100,88,161,78
