 ,Mean1,Mean2,Mean3,Mean4
1,75,149,88,64
2,74,129,92,68
3,76,136,90,63
4,74,131,96,61
5,82,137,102,59
6,83,131,92,63
7,81,134,96,68
8,77,136,101,62
9,79,140,98,59
10,84,137,99,62
11,77,139,102,66
12,81,129,103,76
13,81,131,92,70
14,77,135,93,66
15,84,130,93,59
16,79,139,93,66
17,79,139,93,64
18,78,136,91,64
19,80,138,93,58
20,85,136,96,71
21,73,143,91,71
22,80,140,93,67
23,76,131,93,62
24,76,134,91,67
25,78,134,93,58
26,79,134,100,63
27,77,129,100,66
28,81,132,104,72
29,76,134,100,67
30,80,134,89,60
31,79,138,95,61
32,75,132,91,66
33,76,140,89,67
34,86,134,100,66
35,84,136,95,61
36,79,129,86,68
37,84,136,95,61
38,79,134,95,70
39,85,126,101,68
40,80,130,94,71
41,82,142,96,62
42,80,137,91,62
43,87,137,87,66
44,81,142,98,70
45,78,137,94,64
46,88,145,98,63
47,87,137,89,59
48,78,137,89,62
49,78,133,89,62
50,81,131,93,63
51,88,126,98,67
52,82,126,103,62
53,88,131,98,65
54,88,131,95,65
55,79,142,93,65
56,82,136,99,75
57,85,132,101,63
58,83,131,102,66
59,80,134,103,61
60,82,139,99,68
