 ,Mean1,Mean2,Mean3,Mean4
1,100,154,81,91
2,100,136,100,109
3,91,118,109,81
4,91,136,127,91
5,91,127,91,100
6,81,154,118,100
7,100,145,100,100
8,81,163,109,109
9,63,145,136,91
10,100,163,136,100
11,91,127,136,100
12,100,173,118,109
13,109,154,118,91
14,81,154,127,109
15,100,127,127,100
16,100,136,109,100
17,81,145,109,100
18,91,127,118,109
19,91,145,100,109
20,91,182,100,100
21,91,127,109,100
22,91,154,127,100
23,72,145,109,100
24,100,136,109,118
25,63,127,127,109
26,63,145,109,100
27,81,154,136,118
28,81,154,109,118
29,91,136,118,118
30,81,154,109,109
31,100,154,100,118
32,100,136,109,109
33,81,154,127,100
34,118,163,91,100
35,91,127,136,109
36,91,136,109,127
37,81,154,118,100
38,100,136,136,118
39,100,136,109,100
40,91,154,127,100
41,91,118,127,100
42,100,145,118,91
43,109,145,109,100
44,118,154,100,91
45,91,145,118,118
46,100,136,118,109
47,100,136,109,109
48,91,136,100,91
49,79,149,114,105
50,100,136,118,100
51,81,127,118,100
52,91,154,118,100
53,100,154,118,100
54,72,154,100,118
55,91,145,109,91
56,91,127,118,100
57,100,154,118,109
58,81,118,100,109
59,100,154,118,109
60,100,154,118,100
61,91,136,145,109
62,100,154,118,109
63,100,163,118,127
64,109,127,118,100
65,91,145,109,100
66,91,154,109,109
67,63,127,109,100
68,91,145,127,118
69,100,127,100,91
70,81,145,118,109
71,100,136,118,118
72,109,154,109,118
73,127,127,118,118
74,91,145,100,118
75,81,127,91,81
76,72,136,118,118
77,109,154,118,100
78,72,136,127,100
79,63,154,118,100
80,72,145,109,109
81,81,136,118,100
82,100,136,109,109
83,91,136,100,100
84,91,145,100,127
85,91,163,100,91
86,72,145,109,109
87,81,145,118,109
88,100,154,118,100
89,91,136,109,81
90,91,163,118,109
91,91,154,136,100
92,91,154,118,100
93,91,136,109,109
94,81,127,118,100
95,81,163,127,100
96,87,149,105,96
97,91,163,118,100
98,81,145,109,109
99,91,145,118,100
100,100,154,109,100
101,91,136,118,118
102,81,127,127,72
103,100,145,109,109
104,81,136,118,100
105,72,127,118,91
106,81,163,109,91
107,91,163,100,118
108,100,145,118,118
109,81,118,109,109
110,100,136,118,109
111,85,151,132,103
112,100,145,109,91
113,91,136,127,100
114,85,132,122,103
115,91,136,100,100
116,100,154,118,100
117,81,136,118,100
118,81,136,118,109
119,100,163,109,100
120,81,127,118,91
121,100,154,109,91
122,91,163,136,100
123,100,136,118,109
124,91,136,100,109
125,81,163,127,100
126,81,154,109,109
127,91,136,118,118
128,72,145,100,109
129,91,127,109,100
130,81,145,100,100
131,100,127,118,100
132,109,145,109,100
133,100,136,100,100
134,81,136,127,109
135,91,163,118,109
136,81,154,100,91
137,109,118,100,91
138,81,145,109,136
139,81,154,118,100
140,63,145,100,100
141,100,136,127,100
142,91,118,91,100
143,81,145,118,91
144,81,118,118,118
145,100,145,127,100
146,81,136,118,100
147,81,145,127,81
148,91,163,100,127
149,81,145,118,109
150,91,145,118,109
151,81,145,118,109
152,63,136,118,109
153,81,163,118,100
154,81,145,127,118
155,81,154,109,100
156,91,136,118,100
157,100,163,118,109
