 ,Mean1,Mean2,Mean3,Mean4
1,153,133,102,140
2,156,124,85,156
3,143,130,85,143
4,154,120,93,161
5,156,117,91,156
6,174,134,107,140
7,134,127,93,140
8,127,134,93,147
9,140,140,100,147
10,154,140,87,161
11,140,140,100,154
12,147,134,100,147
13,161,120,93,161
14,161,127,93,147
15,156,150,104,170
16,143,137,98,156
17,167,134,93,161
18,130,143,98,156
19,150,143,104,156
20,143,130,85,156
21,161,140,100,154
22,161,140,80,161
23,167,134,114,174
24,140,147,100,161
25,154,134,80,161
26,140,140,107,140
27,154,134,93,154
28,154,134,107,147
29,140,120,114,161
30,167,120,87,161
31,147,140,87,147
32,140,134,107,140
33,154,114,100,161
34,154,140,107,187
35,161,134,87,167
36,147,127,87,147
37,154,140,100,140
38,161,120,93,147
39,154,134,87,147
40,161,134,107,147
41,147,140,87,140
42,147,134,93,147
43,140,120,100,174
44,140,127,100,167
45,147,140,100,181
46,154,154,100,174
47,154,134,100,161
48,147,154,87,161
49,154,127,93,147
50,161,147,107,174
51,147,134,107,147
52,147,134,93,174
53,134,114,107,167
54,181,134,93,161
55,161,134,100,161
56,140,127,100,167
57,161,134,107,154
58,154,134,100,161
59,161,147,93,161
60,161,140,93,161
61,137,137,117,143
62,161,134,100,161
63,147,120,100,181
64,150,150,111,143
65,130,124,130,150
66,147,140,100,147
67,147,127,100,147
68,147,140,93,161
69,134,134,100,161
70,134,120,107,161
71,140,134,107,174
72,140,120,93,167
73,154,120,100,134
74,140,147,87,174
75,161,140,100,167
76,140,127,93,161
77,161,154,93,167
78,143,143,104,170
79,147,140,100,147
80,167,120,107,140
81,140,140,107,154
82,161,147,100,174
83,147,147,93,174
84,154,120,87,154
85,147,127,100,167
86,147,120,100,167
87,154,140,93,161
88,161,127,93,154
89,140,120,93,147
90,147,127,100,181
91,154,140,114,134
92,140,127,93,167
93,140,140,100,140
94,147,147,100,161
95,151,124,110,151
96,140,134,100,161
97,154,140,93,161
98,134,127,107,140
99,154,120,100,167
100,140,140,100,147
101,147,134,100,161
102,154,127,107,154
103,134,120,107,167
104,134,127,114,154
105,154,140,100,161
106,127,140,100,154
107,147,127,120,161
108,140,147,100,161
109,134,134,100,154
110,140,134,100,147
111,154,127,100,147
112,140,127,93,161
113,154,120,114,154
114,147,127,107,161
115,140,147,100,161
116,140,127,114,167
117,147,140,107,147
118,147,134,100,140
119,147,120,93,174
