 ,Mean1,Mean2,Mean3,Mean4
1,79,129,92,56
2,71,137,88,55
3,79,122,86,59
4,72,149,99,52
5,72,139,92,52
6,79,125,96,59
7,69,135,89,56
8,73,134,90,60
9,86,142,96,52
10,72,125,89,56
11,72,135,89,59
12,73,130,100,60
13,86,122,99,59
14,76,135,89,52
15,72,132,99,56
16,72,139,86,56
17,69,139,96,56
18,72,145,96,59
19,79,135,99,49
20,77,134,90,57
21,73,144,87,53
22,76,139,96,62
23,79,135,92,56
24,66,135,96,59
25,69,132,92,56
26,89,132,99,56
27,72,149,89,56
28,75,143,94,58
29,76,135,99,59
30,79,149,99,59
31,79,135,92,56
32,69,135,89,56
33,69,129,99,56
34,79,142,99,59
35,76,142,89,56
36,78,140,88,58
37,79,139,89,59
38,72,135,99,56
39,69,139,99,59
40,82,139,99,52
41,83,127,87,57
42,75,140,88,55
43,79,139,89,62
44,79,135,96,52
45,80,140,93,60
46,73,144,90,57
47,72,139,102,56
48,73,144,107,57
49,69,139,99,59
50,70,134,97,63
51,70,144,97,60
52,70,147,87,53
53,76,145,92,56
54,79,132,96,52
55,72,132,99,56
56,72,139,92,59
57,79,139,99,52
58,79,132,96,56
59,87,140,90,60
60,76,135,96,59
61,63,130,93,67
62,79,132,99,59
63,73,130,93,63
64,83,134,97,57
65,80,124,97,53
66,79,139,99,59
67,72,129,89,52
68,73,134,93,57
69,67,140,90,57
70,80,127,90,60
71,80,130,104,63
72,70,130,87,53
73,80,140,97,57
74,78,134,91,55
75,80,127,90,60
