 ,Mean1,Mean2,Mean3,Mean4
1,88,156,137,68
2,94,151,122,75
3,98,176,127,78
4,88,156,137,68
5,88,166,117,49
6,88,147,127,78
7,88,156,127,68
8,88,156,127,58
9,107,166,137,68
10,88,156,127,68
11,88,176,117,68
12,88,156,127,58
13,98,166,127,68
14,88,166,127,58
15,88,156,127,58
16,88,156,117,58
17,98,176,127,58
18,102,163,132,61
19,88,156,117,58
20,88,166,127,68
21,88,166,127,68
22,98,156,127,68
23,107,156,137,58
24,88,166,127,68
25,91,163,132,61
26,88,156,137,68
27,102,173,132,51
28,98,176,127,68
29,81,163,132,71
30,91,173,132,61
31,102,163,132,61
32,88,156,137,68
33,91,153,132,71
34,102,163,132,71
35,91,173,132,71
36,91,163,132,51
37,91,163,132,61
38,91,163,132,61
39,91,153,132,71
40,102,153,122,61
41,88,166,127,68
42,91,163,132,61
43,91,163,132,71
44,91,173,142,61
45,91,173,132,71
46,91,153,132,61
47,91,163,132,71
48,91,183,132,61
49,91,163,132,61
50,91,173,132,71
51,91,183,132,61
52,91,163,132,71
53,91,173,132,71
54,88,156,127,68
55,91,163,132,61
56,91,173,122,61
57,102,163,132,51
58,91,163,142,51
59,91,163,132,61
60,91,163,132,71
