 ,Mean1,Mean2,Mean3,Mean4
1,99,73,165,63
2,95,70,175,72
3,94,85,158,66
4,82,80,153,80
5,92,78,176,69
6,96,75,160,63
7,114,81,163,65
8,98,79,166,77
9,98,74,163,72
10,110,70,153,73
11,82,80,153,66
12,89,82,174,68
13,107,86,154,67
14,93,74,161,74
15,96,70,158,85
16,106,70,177,85
17,107,84,156,79
18,93,70,159,72
19,100,74,159,67
20,95,86,156,79
21,96,73,165,82
22,96,82,153,73
23,94,85,167,82
24,109,81,163,70
25,89,80,153,71
26,88,72,175,77
27,78,80,163,66
28,98,79,154,74
29,92,77,148,70
30,103,99,141,63
31,93,70,161,72
32,88,70,159,70
33,99,82,148,75
34,107,72,175,74
35,109,74,154,72
36,94,78,158,62
37,101,78,174,68
38,89,73,149,75
39,96,71,156,71
40,98,82,153,68
41,96,68,151,75
42,98,79,147,88
43,89,73,139,70
44,99,77,160,73
45,98,86,154,72
46,98,72,161,70
47,94,78,158,59
48,96,66,153,75
49,94,75,149,62
50,97,88,159,68
51,107,74,142,65
52,93,74,156,60
53,96,73,155,70
54,99,66,158,68
55,98,70,140,67
56,96,80,144,61
57,99,75,158,61
58,88,70,147,60
59,100,77,156,63
60,89,61,153,59
61,92,71,162,61
62,85,82,170,77
63,97,78,154,59
64,96,96,151,70
65,96,66,151,61
66,88,78,164,66
67,92,75,144,70
68,106,70,146,56
69,95,81,149,58
70,94,68,162,61
71,95,74,152,67
72,98,70,138,72
73,102,70,138,74
74,91,77,159,63
75,95,63,154,67
76,107,70,145,65
77,88,72,149,74
78,103,70,134,61
79,96,78,130,62
80,88,88,145,63
81,91,70,147,60
82,96,85,135,59
83,95,68,152,61
84,95,75,147,61
85,95,70,157,64
