 ,Mean1,Mean2,Mean3,Mean4
1,56,49,87,48
2,52,47,108,47
3,60,46,93,44
4,61,53,86,46
5,60,44,92,41
6,60,50,84,45
7,59,41,97,47
8,57,50,87,43
9,56,45,100,41
10,61,49,95,42
11,54,41,91,51
12,51,40,90,47
13,56,40,91,47
14,63,40,88,47
15,56,50,96,48
16,56,47,98,45
17,59,47,81,44
18,56,44,88,44
19,58,42,88,46
20,50,44,85,44
21,65,40,91,43
22,59,46,87,45
23,53,51,95,50
24,56,48,92,47
25,61,46,92,42
26,60,45,101,40
27,50,50,85,43
28,53,47,97,47
29,53,48,78,47
30,55,41,87,47
31,56,49,77,46
32,57,43,85,53
33,65,44,96,43
34,58,45,90,43
35,58,43,82,43
36,56,48,87,51
37,61,49,95,43
38,59,53,97,43
39,56,48,91,50
40,56,49,92,49
41,53,46,86,43
42,62,46,96,43
43,64,43,100,48
44,55,43,92,43
45,56,52,91,49
46,59,43,85,49
47,60,44,92,43
48,57,43,86,42
49,62,46,92,43
50,55,47,91,42
51,53,45,85,45
52,50,47,88,41
53,52,46,86,41
54,58,39,77,44
55,52,46,92,47
56,56,48,90,47
57,56,50,87,46
58,58,41,91,41
59,61,46,91,47
60,56,43,85,48
61,51,45,92,39
62,52,40,88,43
63,51,43,93,47
64,59,44,86,46
65,58,48,87,46
66,56,46,93,49
67,51,44,88,43
68,56,44,92,47
69,51,43,85,45
70,62,43,93,51
71,61,45,91,40
72,59,40,93,46
73,60,47,95,39
74,60,49,104,46
75,60,44,96,51
