 ,Area1,Mean1,Min1,Max1
1,17176,61.736,0,255
2,17176,63.509,0,255
3,17176,74.042,0,255
4,17176,65.123,0,255
5,17176,61.474,0,255
6,17176,46.894,0,255
7,17176,54.316,0,255
8,17176,58.234,0,255
9,17176,73.027,0,255
10,17176,69.436,0,255
11,17176,61.944,0,255
12,17176,63.803,0,255
13,17176,63.552,0,255
14,17176,62.972,0,255
15,17176,56.951,0,255
16,17176,61.116,0,255
17,17176,62.849,0,255
18,17176,68.802,0,255
19,17176,66.851,0,255
20,17176,58.993,0,255
21,17176,64.443,0,255
22,17176,60.172,0,255
23,17176,60.879,0,255
24,17176,60.401,0,255
25,17176,62.568,0,255
26,17176,65.666,0,255
27,17176,66.813,0,255
28,17176,62.980,0,255
29,17176,70.813,0,255
30,17176,70.487,0,255
31,17176,72.113,0,255
32,17176,65.482,0,255
33,17176,67.595,0,255
34,17176,69.894,0,255
35,17176,71.535,0,255
36,17176,67.051,0,255
37,17176,76.598,0,255
38,17176,70.778,0,255
39,17176,62.703,0,255
40,17176,63.053,0,255
41,17176,65.086,0,255
42,17176,67.612,0,255
43,17176,69.685,0,255
44,17176,67.939,0,255
45,17176,74.994,0,255
46,17176,72.232,0,255
47,17176,74.772,0,255
48,17176,71.454,0,255
49,17176,80.884,0,255
50,17176,94.623,0,255
51,17176,86.050,0,255
52,17176,63.354,0,255
53,17176,65.299,0,255
54,17176,73.076,0,255
55,17176,81.347,0,255
56,17176,67.462,0,255
57,17176,70.865,0,255
58,17176,71.830,0,255
59,17176,66.015,0,255
60,17176,66.928,0,255
