 ,Area1,Mean1,Min1,Max1
1,8304,55.738,41,71
2,8304,61.386,47,77
3,8304,61.640,47,78
4,8304,61.888,47,77
5,8304,68.446,52,87
6,8304,65.149,48,81
7,8304,69.879,52,88
8,8304,56.049,43,71
9,8304,55.719,43,71
10,8304,60.273,45,76
11,8304,61.352,45,77
12,8304,67.530,52,87
13,8304,58.510,44,75
14,8304,66.833,50,86
15,8304,68.796,50,87
16,8304,63.198,50,79
17,8304,63.081,49,80
18,8304,61.513,46,78
19,8304,64.074,50,81
20,8304,71.607,55,92
21,8304,63.717,50,80
22,8304,71.749,55,93
23,8304,63.500,48,79
24,8304,61.858,48,78
25,8304,64.076,49,84
26,8304,59.657,45,76
27,8304,58.425,45,73
28,8304,63.794,49,79
29,8304,53.930,41,68
30,8304,60.052,46,78
31,8304,60.660,47,75
32,8304,63.143,47,79
33,8304,63.539,49,79
34,8304,61.322,47,77
35,8304,61.823,48,78
36,8304,61.628,48,78
37,8304,55.795,43,71
38,8304,54.702,43,69
39,8304,62.035,47,80
40,8304,67.028,50,84
41,8304,71.352,54,90
42,8304,64.524,49,82
43,8304,63.470,49,81
44,8304,66.867,51,84
45,8304,65.252,51,84
46,8304,62.339,48,79
47,8304,58.903,46,75
48,8304,59.641,45,77
49,8304,67.422,51,84
50,8304,68.406,52,87
51,8304,59.605,45,75
52,8304,62.886,48,78
53,8304,54.278,41,69
54,8304,56.022,42,70
55,8304,61.135,47,78
56,8304,55.563,43,70
57,8304,67.646,52,86
58,8304,63.090,49,79
59,8304,63.021,49,79
60,8304,62.431,49,79
